Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-09-01,2016,9,1,Thursday,35,2016-35,217.37,217.73,216.03,217.39,97844200,193.66,4.6094957345532706e-05,194.35071428571428,191.60139999999998
2016-09-02,2016,9,2,Friday,35,2016-35,218.39,218.87,217.7,218.37,79293900,194.53,0.004507800246742466,194.3042857142857,191.736
2016-09-06,2016,9,6,Tuesday,36,2016-36,218.7,219.12,217.86,219.03,56702100,195.12,0.0030225139403199375,194.37214285714285,192.0172
2016-09-07,2016,9,7,Wednesday,36,2016-36,218.84,219.22,218.3,219.01,76554900,195.1,-9.141722822969545e-05,194.41285714285712,192.363
2016-09-08,2016,9,8,Thursday,36,2016-36,218.62,218.94,218.15,218.51,74102900,194.66,-0.0022831369846997296,194.3907142857143,192.63580000000002
2016-09-09,2016,9,9,Friday,36,2016-36,216.97,217.03,213.25,213.28,221589100,190.0,-0.02393455535016331,194.0557142857143,192.7538
2016-09-12,2016,9,12,Monday,37,2016-37,212.39,216.81,212.31,216.34,168110900,192.73,0.014347133853872762,193.91642857142855,192.87619999999998
2016-09-13,2016,9,13,Tuesday,37,2016-37,214.84,215.15,212.5,213.23,182828800,189.96,-0.014375312785198102,193.5514285714286,192.9352
2016-09-14,2016,9,14,Wednesday,37,2016-37,213.29,214.7,212.5,213.15,134185500,189.88,-0.0003752136934763728,193.25214285714284,193.0196
2016-09-15,2016,9,15,Thursday,37,2016-37,212.96,215.73,212.75,215.28,134427900,191.78,0.009993061043929163,193.09785714285712,193.1198
2016-09-16,2016,9,16,Friday,37,2016-37,213.48,213.69,212.57,213.37,155236400,191.04,-0.0038654293070718992,192.91714285714286,193.20739999999998
2016-09-19,2016,9,19,Monday,38,2016-38,214.13,214.88,213.03,213.41,80250500,191.08,0.0001873800719616181,192.67071428571427,193.24020000000002
2016-09-20,2016,9,20,Tuesday,38,2016-38,214.41,214.59,213.38,213.42,69665300,191.08,4.655674164788515e-05,192.44785714285715,193.25959999999998
2016-09-21,2016,9,21,Wednesday,38,2016-38,214.24,216.03,213.44,215.82,110284400,193.23,0.011245684618552243,192.41785714285714,193.29440000000002
2016-09-22,2016,9,22,Thursday,38,2016-38,217.0,217.53,216.71,217.18,76678700,194.45,0.006301364065002479,192.47428571428574,193.3542
